TIME, GPU TEMP,GPU MEMORY USE,GPU POWER USE,GPU CORE UTILIZATION,CPU USE PERCENTAGE,RAM USE IN BYTES
1533058841879,52,319,6,0,78.238,497435640504
1533058842505,52,319,6,10,78.2383,519722201648
1533058843116,52,319,6,0,78.2387,541906357795
1533058843742,52,319,6,0,78.239,563096107526
1533058844390,52,319,6,0,78.2393,586020678749
1533058844998,52,319,6,8,78.2397,606009190919
1533058845602,52,319,6,0,78.24,627413856399
1533058846199,52,319,6,6,78.2403,649216688677
1533058846813,52,319,6,1,78.2406,670678620110
1533058847460,52,319,6,0,78.241,692251041145
1533058848050,52,319,6,5,78.2413,713594398371
1533058848670,52,319,6,4,78.2416,737026278558
1533058849315,52,319,7,0,78.242,757581386796
1533058849934,52,319,7,0,78.2423,778918006851
1533058850541,52,319,6,5,78.2426,800948555503
1533058851172,52,319,6,1,78.243,823578712360
1533058851806,52,319,6,0,78.2433,847037541231
1533058852422,52,319,6,5,78.2436,867740867227
1533058853022,52,319,6,4,78.244,888659782690
1533058853622,52,319,6,0,78.2443,909181205073
1533058854226,52,319,6,5,78.2446,929554409698
1533058854836,52,319,6,0,78.2449,953572423749
1533058855442,52,319,6,0,78.2452,975474966155
1533058856030,52,319,6,4,78.2456,995194665208
1533058856606,52,319,6,5,78.2459,1014779620845
1533058857236,52,319,6,5,78.2462,1038346244449
1533058857858,52,319,6,0,78.2465,1056698297821
1533058858418,52,319,6,5,78.2468,1078708634961
1533058859041,52,319,6,1,78.2472,1101177099717
1533058859668,52,319,7,0,78.2475,1122277918793
1533058860278,52,319,6,8,78.2478,1144490371058
1533058860880,52,319,6,1,78.2482,1167053156207
1533058861490,52,319,6,0,78.2485,1188571679875
1533058862152,52,319,6,0,78.2488,1213492474818
1533058862738,52,319,6,5,78.2492,1234189063643
1533058863356,52,319,6,0,78.2495,1256927015233
1533058863974,52,319,6,5,78.2498,1279314633940
1533058864590,52,319,6,5,78.2502,1301432765813
1533058865206,52,319,6,0,78.2505,1323779961495
1533058865806,52,319,6,5,78.2508,1346780662748
1533058866436,52,319,6,5,78.2511,1368932480475
1533058867041,52,319,6,0,78.2515,1390309523555
1533058867558,52,319,6,0,78.2517,1468022789213
1533058868121,52,319,6,6,78.252,1477798424104
1533058868741,52,319,6,0,78.2523,1491407509204
1533058869354,52,319,6,0,78.2526,1492977270011
1533058869972,52,319,6,5,78.253,1424123384009
1533058870600,52,319,6,3,78.2533,1424803838264
1533058871195,52,319,6,0,78.2536,1425888522770
1533058871796,52,319,6,5,78.2539,1429910613762
1533058872441,52,319,6,0,78.2543,1431022246951
1533058873034,52,319,6,0,78.2546,1430894240705
1533058873648,52,319,6,5,78.2549,1429856716396
1533058874288,52,319,6,3,78.2553,1426218644141
1533058874906,52,319,6,0,78.2556,1425706619157
1533058875520,52,319,6,5,78.2559,1411033061064
1533058876140,52,319,6,2,78.2563,1411828047224
1533058876758,52,319,6,0,78.2566,1412030162349
1533058877366,52,319,6,5,78.2569,1410453664372
1533058877996,52,319,6,5,78.2573,1391434631086
1533058878616,52,319,6,0,78.2576,1390349946580
1533058879238,52,319,6,0,78.2579,1386651239788
1533058879842,52,319,6,5,78.2583,1384151749406
1533058880470,52,319,6,4,78.2586,1382629148796
1533058881083,52,319,6,0,78.2589,1380102709730
1533058881700,52,319,6,5,78.2592,1375588805267
1533058882294,52,319,6,0,78.2596,1372247168529
1533058882902,52,319,6,0,78.2599,1369788101172
1533058883523,52,319,6,5,78.2602,1347865347253
1533058884136,52,319,6,0,78.2606,1351153086624
1533058884774,52,319,6,0,78.2609,1348916345905
1533058885420,52,319,6,5,78.2612,1353093391826
1533058886022,52,319,6,5,78.2616,1356482188760
1533058886650,52,319,6,1,78.2619,1351860489562
1533058887258,52,319,6,0,78.2622,1348694019267
1533058887866,52,319,6,5,78.2625,1343034795760
1533058888492,52,319,6,0,78.2629,1335583484809
1533058889125,52,319,6,0,78.2632,1333508436190
1533058889752,52,319,6,5,78.2636,1327849212683
1533058890384,52,319,6,5,78.2639,1325033075271
1533058891002,52,319,6,1,78.2642,1322243886543
1533058891607,52,319,6,0,78.2645,1314179493045
1533058892248,52,319,6,5,78.2649,1310406677374
1533058892870,52,319,6,5,78.2652,1306384586382
1533058893474,52,319,6,0,78.2655,1301190227663
1533058894104,52,319,6,5,78.2659,1286469509374
1533058894742,52,319,6,5,78.2662,1283377147958
1533058895350,52,319,6,0,78.2665,1287655251442
1533058895964,52,319,7,5,78.2669,1287291444217
1533058896586,52,319,6,5,78.2672,1286806367916
1533058897232,52,319,6,4,78.2676,1283909384454
1533058897904,52,319,6,4,78.2679,1280567747717
1533058898502,52,319,6,0,78.2682,1277933513918
1533058899090,52,319,6,5,78.2685,1269875857591
1533058899742,52,319,6,5,78.2689,1266554432366
1533058900350,52,319,6,0,78.2692,1258833634582
1533058900942,52,319,6,5,78.2695,1258934692144
1533058901578,52,319,6,4,78.2699,1254750909052
1533058902232,52,319,6,0,78.2702,1247912680647
1533058902856,52,319,6,0,78.2706,1241990707478
1533058903466,52,319,6,5,78.2709,1240306414767
1533058904098,52,319,6,4,78.2712,1233090904796
1533058904725,52,319,6,0,78.2716,1214449153077
1533058905358,52,319,6,0,78.2719,1212387578800
1533058905904,52,319,6,0,78.2722,1208015154923
1533058906498,52,319,6,5,78.2725,1207779353944
1533058907126,52,319,6,5,78.2728,1206755303976
1533058907738,52,319,6,0,78.2732,1206506028655
1533058908384,52,319,6,0,78.2735,1200260671285
1533058909018,52,319,7,0,78.2738,1196595650347
1533058909638,52,319,6,6,78.2742,1187305091756
1533058910273,52,319,6,1,78.2745,1181437015953
1533058910889,52,319,6,0,78.2748,1180035684418
1533058911506,52,319,6,5,78.2752,1178634352883
1533058912118,52,319,6,4,78.2755,1176013593426
1533058912726,52,319,6,0,78.2758,1174511204328
1533058913356,52,319,6,5,78.2762,1171102195882
1533058913982,52,319,6,6,78.2765,1173157032989
1533058914606,52,319,6,0,78.2768,1163280340535
1533058915234,52,319,6,0,78.2772,1160511363319
1533058915854,52,319,6,5,78.2775,1160504626148
1533058916458,52,319,6,1,78.2778,1143345052015
1533058917054,52,319,6,0,78.2781,1144887864138
1533058917698,52,319,6,5,78.2785,1142118886922
1533058918340,52,319,6,5,78.2788,1144712697696
1533058918964,52,319,6,0,78.2792,1141997617847
1533058919574,52,319,6,0,78.2795,1132767693794
1533058920232,52,319,7,0,78.2798,1129466480081
1533058920834,52,319,6,5,78.2802,1122372239185
1533058921474,52,319,6,0,78.2805,1120620574766
1533058922086,52,319,6,0,78.2808,1114914191063
1533058922686,52,319,6,5,78.2811,1112145213847
1533058923309,52,319,6,0,78.2815,1106209766336
1533058923902,52,319,6,6,78.2818,1102281995735
1533058924510,52,319,6,5,78.2821,1096595823545
1533058925122,52,319,6,0,78.2824,1093496724958
1533058925774,52,319,6,0,78.2828,1086638285041
1533058926366,52,319,6,6,78.2831,1083896256509
1533058926990,52,319,6,0,78.2834,933280065174
1533058927606,52,319,6,0,78.2838,641044500446
1533058928065,52,319,7,5,78.2835,372100682752
1533058928364,52,319,6,8,78.2836,356467077814
1533058928916,52,319,6,6,78.2839,372824254900
1533058929520,52,319,6,0,78.2842,393858375985
1533058930134,52,319,6,0,78.2845,417483612975
1533058930740,52,319,6,6,78.2849,439743899153
1533058931366,52,319,6,7,78.2852,459206911997
1533058931958,52,319,6,0,78.2855,478079748676
1533058932584,52,319,6,7,78.2859,500665440205
1533058933204,52,319,6,0,78.2862,521626799845
1533058933826,52,319,6,0,78.2865,543216063806
1533058934430,52,319,6,6,78.2868,564447583997
1533058935054,52,319,6,3,78.2872,588448081403
1533058935702,52,319,6,0,78.2875,611306628351
1533058936326,52,319,6,0,78.2878,632433722393
1533058936922,52,319,6,6,78.2882,652064490792
1533058937542,52,319,6,0,78.2885,675327267991
1533058938156,52,319,6,6,78.2888,695525306174
1533058938778,52,319,6,7,78.2892,718633802160
1533058939372,52,319,6,0,78.2895,739525768940
1533058940000,52,319,6,0,78.2898,759467794631
1533058940600,52,319,7,4,78.2901,782428072860
1533058941184,52,319,6,0,78.2904,804296929411
1533058941810,52,319,6,5,78.2908,825148473166
1533058942418,52,319,6,3,78.2911,844975966953
1533058943048,52,319,6,0,78.2914,868428058653
1533058943668,52,319,6,5,78.2918,890155434617
1533058944294,52,319,6,6,78.2921,911296676718
1533058944906,52,319,6,0,78.2924,932256015206
1533058945535,52,319,6,0,78.2927,956819740094
1533058946126,52,319,6,5,78.2931,974848409266
1533058946724,52,319,6,0,78.2934,997377508561
1533058947342,52,319,6,5,78.2937,1019192467746
1533058947952,52,319,6,1,78.294,1039929479596
1533058948600,52,319,6,0,78.2944,1062276675278
1533058949226,52,319,6,0,78.2947,1085688343952
1533058949864,52,319,6,5,78.2951,1107004752495
1533058950472,52,319,6,4,78.2954,1130409683999
1533058951105,52,319,6,0,78.2957,1151591349125
1533058951682,52,319,6,5,78.296,1173305250748
1533058952310,52,319,6,4,78.2964,1194082685623
1533058952935,52,319,6,0,78.2967,1215830273100
1533058953512,52,319,6,5,78.297,1235502811957
1533058954102,52,319,6,0,78.2973,1258207077693
1533058954706,52,319,6,5,78.2976,1279024935594
1533058955310,52,319,6,3,78.298,1302955366423
1533058955936,52,319,6,0,78.2983,1325167818688
1533058956558,52,319,6,6,78.2986,1347905770278
1533058957134,52,319,7,0,78.2989,1364607216795
1533058957742,52,319,6,0,78.2992,1387951513761
1533058958250,52,319,6,0,78.2995,1471809079226
1533058958758,52,319,6,0,78.2997,1478573198751
1533058959374,52,319,6,5,78.3001,1487971552075
1533058959990,52,319,6,1,78.3004,1493347814407
1533058960648,52,319,6,0,78.3007,1477225764583
1533058961264,52,319,6,5,78.3011,1436129022449
1533058961908,52,319,6,5,78.3014,1438776730590
1533058962533,52,319,6,4,78.3018,1437281078663
1533058963173,52,319,6,0,78.3021,1433838384363
1533058963824,52,319,6,0,78.3024,1433710378117
1533058964440,52,319,6,5,78.3028,1433912493242
1533058965058,52,319,6,5,78.3031,1433400468258
1533058965682,52,319,6,0,78.3034,1427141636546
1533058966290,52,319,6,0,78.3038,1418322679915
1533058966893,52,319,6,6,78.3041,1415048414886
1533058967490,52,319,6,0,78.3044,1415924247095
1533058968120,52,319,6,5,78.3047,1409914690704
1533058968740,52,319,6,5,78.3051,1400920567631
1533058969392,52,319,6,5,78.3054,1387917827907
1533058970010,52,319,6,0,78.3057,1388800397287
1533058970626,52,319,6,5,78.3061,1384953472736
1533058971248,52,319,6,5,78.3064,1373823666506
1533058971888,52,319,6,1,78.3067,1379765851188
1533058972536,52,319,6,0,78.3071,1375676388487
1533058973166,52,319,6,0,78.3074,1376356842742
1533058973748,52,319,6,4,78.3077,1371236592903
1533058974351,52,319,7,0,78.308,1372179796821
1533058974942,52,319,6,6,78.3084,1368629307787
1533058975538,52,319,6,0,78.3087,1358442705475
1533058976164,52,319,6,0,78.309,1357735302536
1533058976752,52,319,6,4,78.3093,1353160763535
1533058977374,52,319,6,0,78.3097,1356461977247
1533058978008,52,319,6,0,78.31,1350654535982
1533058978646,52,319,6,5,78.3103,1348485166971
1533058979266,52,319,7,4,78.3107,1339747056389
1533058979880,52,319,6,0,78.311,1335334209488
1533058980478,52,319,6,6,78.3113,1325774164064
1533058981116,52,319,6,5,78.3117,1321152464866
1533058981740,52,319,6,0,78.312,1321253522429
1533058982372,52,319,6,0,78.3123,1315850311414
1533058982994,52,319,6,5,78.3127,1314287287779
1533058983606,52,319,7,4,78.313,1308783019201
1533058984206,52,319,7,0,78.3133,1303595397653
1533058984838,52,319,6,6,78.3136,1301789835868
1533058985490,52,319,6,5,78.314,1296117138019
1533058986110,52,319,6,0,78.3143,1289144166198
1533058986719,52,319,6,0,78.3146,1289245223761
1533058987340,52,319,6,5,78.315,1286119176490
1533058987974,52,319,6,4,78.3153,1281713066760
1533058988594,52,319,6,0,78.3156,1275811305102
1533058989202,52,319,6,5,78.3159,1271209817418
1533058989810,52,319,6,5,78.3163,1270077972716
1533058990424,52,319,6,0,78.3166,1264499595259
1533058991026,52,319,6,5,78.3169,1262943308795
1533058991638,52,319,6,4,78.3172,1252493956820
1533058992250,52,319,6,0,78.3176,1245460350461
1533058992850,52,319,6,5,78.3179,1241310253223
1533058993470,52,319,6,1,78.3182,1242152399578
1533058994094,52,319,6,0,78.3186,1238359372394
1533058994722,52,319,6,5,78.3189,1222372065987
1533058995318,52,319,7,4,78.3192,1221947624224
1533058995956,52,319,6,0,78.3195,1219333601937
1533058996576,52,319,6,6,78.3199,1218073750990
1533058997210,52,319,6,5,78.3202,1216086285592
1533058997813,52,319,6,0,78.3205,1216146920129
1533058998434,52,319,6,0,78.3209,1210319267351
1533058999078,52,319,6,5,78.3212,1209746607830
1533058999696,52,319,6,4,78.3215,1206398233921
1533059000321,52,319,6,0,78.3219,1194971992174
1533059000950,52,319,6,0,78.3222,1192950840922
1533059001562,52,319,6,6,78.3225,1189750684772
1533059002200,52,319,6,4,78.3229,1185876811538
1533059002840,52,319,6,0,78.3232,1182272425138
1533059003464,52,319,7,0,78.3235,1180844144919
1533059004078,52,319,6,6,78.3239,1175595888834
1533059004686,52,319,6,2,78.3242,1174450569791
1533059005278,52,319,6,0,78.3245,1171775912966
1533059005894,52,319,6,5,78.3248,1165941523018
1533059006526,52,319,6,1,78.3252,1160996439620
1533059007118,52,319,6,0,78.3255,1153875250040
1533059007706,52,319,6,4,78.3258,1153881987211
1533059008347,52,319,6,0,78.3261,1147683790037
1533059008961,52,319,6,6,78.3265,1143870551341
1533059009590,52,319,6,6,78.3268,1142455745464
1533059010220,52,319,7,1,78.3271,1134485672358
1533059010810,52,319,6,0,78.3274,1130982343521
1533059011440,52,319,6,5,78.3278,1124831306542
1533059012103,52,319,6,5,78.3281,1123052693440
1533059012748,52,319,6,4,78.3285,1115480113414
1533059013340,52,319,6,0,78.3288,1107651520896
1533059013912,52,319,6,4,78.3291,1105805536086
1533059014540,52,319,6,0,78.3294,1101615015822
1533059015158,52,319,6,0,78.3297,1096454342957
1533059015758,52,319,6,5,78.3301,1092883642411
1533059016384,52,319,6,0,78.3304,1087426534030
1533059017008,52,319,6,0,78.3307,1084030999925
1533059017626,52,319,6,6,78.3311,982420989292
1533059018204,52,319,6,0,78.3314,612758488668
1533059018605,52,319,7,5,78.3312,364910774030
1533059018910,52,319,6,0,78.3312,357528855939
1533059019422,52,319,6,5,78.3315,371668830101
1533059020005,52,319,6,6,78.3318,395006389896
1533059020574,52,319,6,2,78.3321,413614455761
1533059021203,52,319,6,0,78.3324,433730974177
1533059021810,52,319,6,9,78.3327,453931707228
1533059022394,52,319,6,0,78.333,475068233310
1533059023003,52,319,6,6,78.3333,494942887292
1533059023594,52,319,6,0,78.3337,518769565691
1533059024226,52,319,6,0,78.334,540311669457
1533059024786,52,319,6,4,78.3343,560472653200
1533059025369,52,319,6,9,78.3346,580294083533
1533059025984,52,319,6,6,78.3349,603829716151
1533059026618,52,319,6,0,78.3353,625010033843
1533059027262,52,319,6,0,78.3356,646067735026
1533059027887,52,319,6,0,78.3359,669116943909
1533059028524,52,319,6,7,78.3363,690930555660
1533059029185,52,319,6,6,78.3366,713001527337
1533059029810,52,319,6,3,78.337,735328511506
1533059030414,52,319,6,0,78.3373,755742139156
1533059031034,52,319,6,5,78.3376,779254865393
1533059031654,52,319,6,4,78.3379,801541426537
1533059032294,52,319,6,0,78.3383,823194693622
1533059032932,52,319,7,0,78.3386,845811376137
1533059033566,52,319,6,5,78.339,868906397782
1533059034222,52,319,6,5,78.3393,888801263278
1533059034840,52,319,6,1,78.3396,910380421483
1533059035452,52,319,6,0,78.34,931764201734
1533059036070,52,319,6,5,78.3403,954084448733
1533059036692,52,319,6,4,78.3406,977132310182
1533059037310,52,319,6,0,78.3409,999364973959
1533059037945,52,319,6,0,78.3413,1020519690402
1533059038594,52,319,6,6,78.3416,1043917884735
1533059039234,52,319,6,5,78.342,1066285291929
1533059039856,52,319,6,0,78.3423,1088268680385
1533059040512,52,319,6,0,78.3426,1112017207601
1533059041094,52,319,6,5,78.3429,1131521317188
1533059041694,52,319,6,1,78.3433,1155175524013
1533059042326,52,319,6,0,78.3436,1178499609466
