GPU TEMP,GPU MEMORY USE,GPU POWER USE,GPU CORE UTILIZATION,CPU USE PERCENTAGE,RAM USE IN BYTES
89,7800,86,98,24.0734,336085114867
89,7800,78,98,24.0764,336089830886
89,7800,19,99,24.0793,336051429013
89,7800,08,98,24.0824,336095220623
89,7800,01,97,24.0854,336048060427
89,7800,20,98,24.0879,336120821872
89,7800,84,98,24.0906,336017743158
89,7800,20,99,24.0932,336132948780
89,7800,08,98,24.096,336064229637
89,7800,27,97,24.099,336136317365
89,7800,07,99,24.1015,335960477206
89,7800,28,98,24.1044,335893105498
89,7800,84,99,24.1064,336045365559
89,7800,03,97,24.1091,336033912368
89,7800,21,98,24.1118,335849987605
90,7800,24,99,24.1154,335822365204
89,7800,30,98,24.1185,335928138786
89,7800,30,98,24.1216,336032564934
89,7800,87,98,24.1239,336004942534
89,7800,07,98,24.1268,335918033030
89,7800,31,97,24.1298,335928812503
89,7800,26,99,24.133,336045365559
89,7800,06,98,24.1352,336058839901
90,7800,94,99,24.1381,336041996973
89,7800,93,98,24.1406,336084441150
89,7800,09,98,24.1435,336091852038
89,7800,14,99,24.1469,336048734144
89,7800,27,98,24.1501,336079051413
89,7800,15,98,24.1527,335996184212
89,7800,88,98,24.1555,336103305228
89,7800,04,98,24.1578,336155855161
89,7800,09,99,24.1608,336104652662
89,7800,16,98,24.164,336004942534
89,7800,98,97,24.1668,336006963685
89,7800,06,97,24.1709,336180108976
89,7800,92,98,24.1755,335992815626
89,7800,02,99,24.1789,336071640525
89,7800,07,98,24.181,336037280954
89,7800,33,97,24.1833,336007637402
90,7800,26,99,24.1866,335999552797
89,7800,16,98,24.1892,336007637402
89,7800,98,98,24.1913,336127559043
89,7800,95,98,24.194,336034586086
90,7800,14,98,24.1967,336091178321
90,7800,17,98,24.1996,336130253912
89,7800,22,98,24.2021,336033238651
89,7800,11,98,24.2039,336100610360
89,7800,85,98,24.2061,336068271940
89,7800,02,98,24.2081,336124864175
89,7800,27,99,24.2104,336119474438
90,7800,28,97,24.2137,336033238651
89,7800,26,98,24.2163,336110716116
89,7800,25,99,24.2187,336196951903
89,7800,90,98,24.2209,336296662031
90,7800,25,98,24.2233,336153160292
89,7800,14,99,24.2261,336097241774
89,7800,16,98,24.2291,336125537892
90,7800,16,97,24.2313,336341801076
90,7800,00,98,24.2334,336275103085
90,7800,83,98,24.2353,336231311474
90,7800,17,99,24.238,336198973054
90,7800,08,98,24.2408,336188193581
90,7800,21,97,24.2438,336077030262
90,7800,23,98,24.2462,335936223391
90,7800,95,98,24.2484,336157876312
90,7800,05,99,24.2512,336135643648
90,7800,22,98,24.2538,336128906477
90,7800,21,97,24.2571,336157876312
90,7800,11,99,24.2593,336047386710
90,7800,18,98,24.2615,336083767433
90,7800,81,99,24.2641,336194930752
90,7800,09,97,24.2664,336097241774
89,7800,23,98,24.2695,336128906477
90,7800,19,99,24.2726,336217163415
90,7800,01,98,24.2743,336161918614
90,7800,98,98,24.277,336118127004
89,7800,85,99,24.2791,336151812858
90,7800,11,98,24.2814,336082419999
90,7800,28,98,24.2844,336196278186
90,7800,30,98,24.2868,336160571180
90,7800,26,98,24.289,336180108976
90,7800,87,99,24.2916,336148444273
90,7800,06,98,24.2934,336102631511
90,7800,34,97,24.2961,336163266049
90,7800,16,99,24.2991,336227942889
90,7800,27,98,24.3014,336136317365
90,7800,25,98,24.3039,336315526110
90,7800,92,98,24.3063,336186846147
90,7800,92,98,24.3099,336133622497
90,7800,09,99,24.3126,336216489698
90,7800,02,98,24.3158,336101957794
90,7800,08,97,24.3184,336148444273
90,7800,35,98,24.3203,335953740035
90,7800,84,98,24.3229,336097915491
